target_url,url_status,page_type,cluster_ids,primary_queries,recommended_h1,title_draft,description_draft,internal_links_from,internal_links_to,implementation_task,owner_hint,notes
/uslugi/wordpress-razrabotka/,create_or_update,service,c_wp_commercial,сайт под ключ,WordPress: разработка и заказ сайта,"WordPress: разработка и заказ сайта: структура, приёмка и польза для бизнеса","Практический разбор по теме ""сайт под ключ"": что проверить, как поставить задачу и где не потерять заявки.","/blog/; /uslugi/wordpress-razrabotka/; /prodvizhenie/seo/",/uslugi/wordpress-razrabotka/,"Сделать статью или посадочную по кластеру, проверить дубли, добавить schema и внутренние ссылки.",WordPrais automation,"Не публиковать без обложки, баннера и verified publication."
/uslugi/nastrojka-wordpress/,create_or_update,guide,c_wp_setup,настройка wordpress,"WordPress: установка, настройка и админка","WordPress: установка, настройка и админка: структура, приёмка и польза для бизнеса","Практический разбор по теме ""настройка wordpress"": что проверить, как поставить задачу и где не потерять заявки.","/blog/; /uslugi/wordpress-razrabotka/; /prodvizhenie/seo/",/uslugi/nastrojka-wordpress/,"Сделать статью или посадочную по кластеру, проверить дубли, добавить schema и внутренние ссылки.",WordPrais automation,"Не публиковать без обложки, баннера и verified publication."
/uslugi/uskorenie-wordpress/,create_or_update,guide,c_wp_performance,ускорение сайта на wordpress,"WordPress: скорость, кэш и Core Web Vitals","WordPress: скорость, кэш и Core Web Vitals: структура, приёмка и польза для бизнеса","Практический разбор по теме ""ускорение сайта на wordpress"": что проверить, как поставить задачу и где не потерять заявки.","/blog/; /uslugi/wordpress-razrabotka/; /prodvizhenie/seo/",/uslugi/uskorenie-wordpress/,"Сделать статью или посадочную по кластеру, проверить дубли, добавить schema и внутренние ссылки.",WordPrais automation,"Не публиковать без обложки, баннера и verified publication."
/uslugi/perenos-wordpress/,create_or_update,guide,c_wp_migration,перенос сайта на wordpress,"WordPress: перенос, домен и хостинг","WordPress: перенос, домен и хостинг: структура, приёмка и польза для бизнеса","Практический разбор по теме ""перенос сайта на wordpress"": что проверить, как поставить задачу и где не потерять заявки.","/blog/; /uslugi/wordpress-razrabotka/; /prodvizhenie/seo/",/uslugi/perenos-wordpress/,"Сделать статью или посадочную по кластеру, проверить дубли, добавить schema и внутренние ссылки.",WordPrais automation,"Не публиковать без обложки, баннера и verified publication."
/uslugi/wordpress-bezopasnost-vosstanovlenie/,create_or_update,service,c_wp_security,безопасность wordpress,"WordPress: безопасность, вирусы и восстановление","WordPress: безопасность, вирусы и восстановление: структура, приёмка и польза для бизнеса","Практический разбор по теме ""безопасность wordpress"": что проверить, как поставить задачу и где не потерять заявки.","/blog/; /uslugi/wordpress-razrabotka/; /prodvizhenie/seo/",/uslugi/wordpress-bezopasnost-vosstanovlenie/,"Сделать статью или посадочную по кластеру, проверить дубли, добавить schema и внутренние ссылки.",WordPrais automation,"Не публиковать без обложки, баннера и verified publication."
/uslugi/teh-podderzhka-wordpress/,create_or_update,service,c_wp_support,поддержка сайтов wordpress,WordPress: поддержка и доработки,"WordPress: поддержка и доработки: структура, приёмка и польза для бизнеса","Практический разбор по теме ""поддержка сайтов wordpress"": что проверить, как поставить задачу и где не потерять заявки.","/blog/; /uslugi/wordpress-razrabotka/; /prodvizhenie/seo/",/uslugi/teh-podderzhka-wordpress/,"Сделать статью или посадочную по кластеру, проверить дубли, добавить schema и внутренние ссылки.",WordPrais automation,"Не публиковать без обложки, баннера и verified publication."
/uslugi/wordpress-plaginy-temy/,create_or_update,guide,c_plugins_themes,wordpress плагины разработка,"WordPress: плагины, темы, Elementor","WordPress: плагины, темы, Elementor: структура, приёмка и польза для бизнеса","Практический разбор по теме ""wordpress плагины разработка"": что проверить, как поставить задачу и где не потерять заявки.","/blog/; /uslugi/wordpress-razrabotka/; /prodvizhenie/seo/",/uslugi/wordpress-plaginy-temy/,"Сделать статью или посадочную по кластеру, проверить дубли, добавить schema и внутренние ссылки.",WordPrais automation,"Не публиковать без обложки, баннера и verified publication."
/uslugi/kalkulyatory-dlya-sajta/,create_or_update,service,c_calculators,калькулятор для сайта,Калькуляторы и формы для сайта,"Калькуляторы и формы для сайта: структура, приёмка и польза для бизнеса","Практический разбор по теме ""калькулятор для сайта"": что проверить, как поставить задачу и где не потерять заявки.","/blog/; /uslugi/wordpress-razrabotka/; /prodvizhenie/seo/",/uslugi/kalkulyatory-dlya-sajta/,"Сделать статью или посадочную по кластеру, проверить дубли, добавить schema и внутренние ссылки.",WordPrais automation,"Не публиковать без обложки, баннера и verified publication."
/prodvizhenie/seo/,create_or_update,service,c_seo_wp,seo продвижение сайта,SEO-продвижение сайта,"SEO-продвижение сайта: структура, приёмка и польза для бизнеса","Практический разбор по теме ""seo продвижение сайта"": что проверить, как поставить задачу и где не потерять заявки.","/blog/; /uslugi/wordpress-razrabotka/; /prodvizhenie/seo/",/prodvizhenie/seo/,"Сделать статью или посадочную по кластеру, проверить дубли, добавить schema и внутренние ссылки.",WordPrais automation,"Не публиковать без обложки, баннера и verified publication."
/prodvizhenie/yandex/,create_or_update,service,c_yandex_seo,продвижение сайта в яндексе,Продвижение в Яндексе,"Продвижение в Яндексе: структура, приёмка и польза для бизнеса","Практический разбор по теме ""продвижение сайта в яндексе"": что проверить, как поставить задачу и где не потерять заявки.","/blog/; /uslugi/wordpress-razrabotka/; /prodvizhenie/seo/",/prodvizhenie/yandex/,"Сделать статью или посадочную по кластеру, проверить дубли, добавить schema и внутренние ссылки.",WordPrais automation,"Не публиковать без обложки, баннера и verified publication."
