date_collected,seed_phrase,query,raw_frequency,region,device,source,source_call,notes
2026-05-16,разработка сайта на wordpress,разработка сайта на wordpress,137,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,создание сайта на wordpress,создание сайта на wordpress,470,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,создание сайта на wordpress,создание сайта на wordpress elementor,75,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,создание сайта на wordpress,создания сайта на wordpress с нуля,73,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,создание сайта на wordpress,создание сайтов на основе wordpress,41,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,создание сайта на wordpress,создание сайта на теме wordpress,13,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,создание сайта на wordpress,нейросеть для создания сайта на wordpress,12,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,создание сайта на wordpress,инструкция создания сайта на wordpress,12,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,создание сайта на wordpress,создание сайта на wordpress пошаговая,10,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,создание сайта на wordpress,создание сайта на wordpress пошаговая инструкция,10,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,создание сайта на wordpress,создание сайтов на wordpress цена,7,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,создание сайта на wordpress,создание и продвижение сайтов на wordpress,5,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,заказать сайт на wordpress,заказать сайт на wordpress,54,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,заказать сайт на wordpress,сайт под ключ,5192,225 Россия,all,wordstat_mcp_kv,similar,
2026-05-16,заказать сайт на wordpress,сколько стоит сделать сайт,1373,225 Россия,all,wordstat_mcp_kv,similar,
2026-05-16,заказать сайт на wordpress,сколько стоит создать сайт,941,225 Россия,all,wordstat_mcp_kv,similar,
2026-05-16,заказать сайт на wordpress,вордпресс создание сайта,468,225 Россия,all,wordstat_mcp_kv,similar,
2026-05-16,seo продвижение сайта,seo продвижение сайта,8513,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo продвижение сайта,seo продвижение сайта москва,874,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo продвижение сайта,seo продвижение сайта заказать,667,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo продвижение сайта,seo оптимизация продвижение сайтов,636,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo продвижение сайта,поисковое продвижение сайта seo,616,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo продвижение сайта,seo продвижение сайтов цена,487,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo продвижение сайта,сео продвижение сайтов seo,287,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo продвижение сайта,seo система продвижение сайтов,284,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo продвижение сайта,seo продвижение раскрутка сайта,279,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo продвижение сайта,seo ru продвижение сайтов,238,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo продвижение сайта,seo продвижение сайта россия,234,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo продвижение сайта,seo продвижение сайта услуги,229,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo продвижение сайта,seo продвижение сайта в яндекс,220,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,продвижение сайта в яндексе,продвижение сайта в яндексе,1950,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,продвижение сайта в яндексе,продвижение сайта в топ яндекса,423,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,продвижение сайта в яндексе,продвижение сайтов в яндексе москва,300,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,продвижение сайта в яндексе,seo продвижение сайта в яндекс,220,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,продвижение сайта в яндексе,продвижение сайтов в 10 яндекс,191,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,продвижение сайта в яндексе,продвижение сайта в яндекс директ,189,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,продвижение сайта в яндексе,продвижение сайта в яндексе цена,166,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,продвижение сайта в яндексе,продвижение сайта в топ 10 яндекса,150,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,продвижение сайта в яндексе,поисковое продвижение сайта в яндекс,91,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,продвижение сайта в яндексе,продвижение сайта в системе яндекс,55,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,продвижение сайта в яндексе,продвижение сайта в поисковой системе яндекс,54,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,продвижение сайта в яндексе,заказать продвижение сайта в яндекс,53,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,продвижение сайта в яндексе,сео продвижение сайта в яндекс,50,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo аудит сайта,seo аудит сайта,506,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo аудит сайта,бесплатный seo аудит сайта,262,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo аудит сайта,seo анализ сайта аудит,252,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo аудит сайта,seo аудит сайта технического seo аудита,54,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo аудит сайта,seo аудит сайта онлайн,33,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo аудит сайта,провести seo аудит сайта,19,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo аудит сайта,seo аудит сайта онлайн бесплатно,11,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo аудит сайта,аудит seo продвижение сайта,8,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,seo аудит сайта,технический аудит сайта на своем сервере seo,7,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,настройка wordpress,настройка wordpress,658,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,настройка wordpress,настройка сайта wordpress,116,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,настройка wordpress,настройки темы wordpress,59,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,настройка wordpress,настройки плагинов wordpress,57,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,настройка wordpress,страница настроек wordpress,49,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,настройка wordpress,wordpress установка настройка,48,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,настройка wordpress,wordpress настройка сервера,30,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,настройка wordpress,настройка seo wordpress,26,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,настройка wordpress,smtp wordpress настройки,25,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,настройка wordpress,wordpress настройки базы,22,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,настройка wordpress,настройка woocommerce wordpress,22,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,настройка wordpress,wp mail smtp wordpress настройка,21,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,настройка wordpress,настройка wordpress для новичков,20,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,настройка wordpress,wordpress настройка php,17,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,настройка wordpress,htaccess wordpress настройка,14,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,настройка wordpress,wordpress почта настройка,13,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,ускорение сайта wordpress,ускорение сайта на wordpress,31,225 Россия,all,wordstat_mcp_kv,top,
