cluster_id,cluster_name,primary_query,secondary_queries,intent,frequency_total,region_note,page_type,priority,business_value,target_url,url_status,serp_engine,serp_check_status,top_competitors,geo_questions,content_status,last_review,notes
c_wp_commercial,WordPress: разработка и заказ сайта,сайт под ключ,сколько стоит сделать сайт | сколько стоит создать сайт | создание сайта на wordpress | вордпресс создание сайта | разработка сайта на wordpress | создание сайта на wordpress elementor | создания сайта на wordpress с нуля,commercial/service,8893,Россия 225,service,P0,high,/uslugi/wordpress-razrabotka/,create_or_update,Yandex/Google,not_checked,,"Добавить FAQ, AI-quotable blocks, schema FAQ/Article",queued,2026-05-16,
c_wp_setup,"WordPress: установка, настройка и админка",настройка wordpress,настройка сайта wordpress | настройки темы wordpress | настройки плагинов wordpress | страница настроек wordpress | wordpress установка настройка | wordpress настройка сервера | настройка seo wordpress,informational/commercial,1197,Россия 225,guide,P0,medium,/uslugi/nastrojka-wordpress/,create_or_update,Yandex/Google,not_checked,,"Добавить FAQ, AI-quotable blocks, schema FAQ/Article",queued,2026-05-16,
c_wp_performance,"WordPress: скорость, кэш и Core Web Vitals",ускорение сайта на wordpress,плагин для ускорения сайта на wordpress,informational/commercial,41,Россия 225,guide,P1,medium,/uslugi/uskorenie-wordpress/,create_or_update,Yandex/Google,not_checked,,"Добавить FAQ, AI-quotable blocks, schema FAQ/Article",queued,2026-05-16,
c_wp_migration,"WordPress: перенос, домен и хостинг",перенос сайта на wordpress,перенос сайта wordpress на другой | перенос сайта wordpress на хостинг | перенос сайта на wordpress на домен | перенос сайт wordpress на другой домен | wordpress перенос сайта на другой хостинг,informational/commercial,242,Россия 225,guide,P1,medium,/uslugi/perenos-wordpress/,create_or_update,Yandex/Google,not_checked,,"Добавить FAQ, AI-quotable blocks, schema FAQ/Article",queued,2026-05-16,
c_wp_security,"WordPress: безопасность, вирусы и восстановление",безопасность wordpress,wordpress вирусы | безопасность сайта wordpress | безопасность wordpress плагины | wordpress книга по безопасности,commercial/service,154,Россия 225,service,P0,high,/uslugi/wordpress-bezopasnost-vosstanovlenie/,create_or_update,Yandex/Google,not_checked,,"Добавить FAQ, AI-quotable blocks, schema FAQ/Article",queued,2026-05-16,
c_wp_support,WordPress: поддержка и доработки,поддержка сайтов wordpress,доработка сайта на wordpress | техническая поддержка сайта wordpress,commercial/service,101,Россия 225,service,P1,medium,/uslugi/teh-podderzhka-wordpress/,create_or_update,Yandex/Google,not_checked,,"Добавить FAQ, AI-quotable blocks, schema FAQ/Article",queued,2026-05-16,
c_plugins_themes,"WordPress: плагины, темы, Elementor",wordpress плагины разработка,,informational/commercial,26,Россия 225,guide,P1,medium,/uslugi/wordpress-plaginy-temy/,create_or_update,Yandex/Google,not_checked,,"Добавить FAQ, AI-quotable blocks, schema FAQ/Article",queued,2026-05-16,
c_calculators,Калькуляторы и формы для сайта,калькулятор для сайта,онлайн калькулятор для сайта | калькулятор для расчета сайта | калькулятор стоимости для сайта | калькуляторы для сайта бесплатно | калькулятор для сайта скачать | разработка калькулятора для сайта | создать калькулятор для сайта,commercial/service,3999,Россия 225,service,P0,high,/uslugi/kalkulyatory-dlya-sajta/,create_or_update,Yandex/Google,not_checked,,"Добавить FAQ, AI-quotable blocks, schema FAQ/Article",queued,2026-05-16,
c_seo_wp,SEO-продвижение сайта,seo продвижение сайта,seo продвижение сайта москва | seo продвижение сайта заказать | seo оптимизация продвижение сайтов | поисковое продвижение сайта seo | seo продвижение сайтов цена | сео продвижение сайтов seo | seo система продвижение сайтов,commercial/service,13564,Россия 225,service,P0,high,/prodvizhenie/seo/,create_or_update,Yandex/Google,not_checked,,"Добавить FAQ, AI-quotable blocks, schema FAQ/Article",queued,2026-05-16,
c_yandex_seo,Продвижение в Яндексе,продвижение сайта в яндексе,продвижение сайта в топ яндекса | продвижение сайтов в яндексе москва | seo продвижение сайта в яндекс | продвижение сайтов в 10 яндекс | продвижение сайта в яндекс директ | продвижение сайта в яндексе цена | продвижение сайта в топ 10 яндекса,commercial/service,3892,Россия 225,service,P0,high,/prodvizhenie/yandex/,create_or_update,Yandex/Google,not_checked,,"Добавить FAQ, AI-quotable blocks, schema FAQ/Article",queued,2026-05-16,
c_seo_audit,SEO-аудит и технический аудит сайта,seo аудит сайта,бесплатный seo аудит сайта | seo анализ сайта аудит | seo аудит сайта технического seo аудита | seo аудит сайта онлайн | провести seo аудит сайта | seo аудит сайта онлайн бесплатно | аудит seo продвижение сайта,commercial/service,1152,Россия 225,service,P0,high,/prodvizhenie/seo-audit/,create_or_update,Yandex/Google,not_checked,,"Добавить FAQ, AI-quotable blocks, schema FAQ/Article",queued,2026-05-16,
c_geo_ai,"GEO, AI-search и нейропоиск",нейросеть для создания сайтов,нейросеть для создания сайта бесплатно | лучшая нейросеть для создания сайтов | нейросеть для создания сайта на русском | нейросеть для создания дизайна сайта | ai нейросеть для создания сайта | нейросеть для создания сайта с нуля | нейросеть для создания сайтов с нуля бесплатно,informational/commercial,4632,Россия 225,guide,P0,medium,/yandex/nejropoisk-geo/,create_or_update,Yandex/Google,not_checked,,"Добавить FAQ, AI-quotable blocks, schema FAQ/Article",queued,2026-05-16,
c_content,"Контент, статьи и наполнение сайта",наполнение сайта контентом,наполнение сайта контентом работа | заказать статью для сайта | контент менеджер наполнение сайта | пошаговое наполнение сайта контентом,commercial/service,371,Россия 225,service,P1,medium,/uslugi/kontent-dlya-sajta/,create_or_update,Yandex/Google,not_checked,,"Добавить FAQ, AI-quotable blocks, schema FAQ/Article",queued,2026-05-16,
